City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cabo San Lucas,MX,22.8909,-109.9124,74.52,71,54,8.77,broken clouds
1,Saint George,US,37.1041,-113.5841,38.25,65,0,5.75,clear sky
2,Busselton,AU,-33.65,115.3333,52.56,66,12,11.56,few clouds
3,Altamira,BR,-3.2033,-52.2064,80.69,89,40,3.44,scattered clouds
4,Ahuimanu,US,21.4447,-157.8378,76.75,75,75,4.61,broken clouds
5,Saint-Philippe,RE,-21.3585,55.7679,80.19,81,27,8.23,scattered clouds
6,Yellowknife,CA,62.456,-114.3525,15.57,85,64,15.01,broken clouds
7,Chokurdakh,RU,70.6333,147.9167,-19.14,98,100,6.4,overcast clouds
8,Coquimbo,CL,-29.9533,-71.3436,60.53,77,75,2.3,broken clouds
9,Rikitea,PF,-23.1203,-134.9692,73.2,87,80,6.26,broken clouds
10,Sur,OM,22.5667,59.5289,82.67,56,5,9.08,clear sky
11,Ostrovnoy,RU,68.0531,39.5131,34.12,90,100,19.04,overcast clouds
12,Sangmelima,CM,2.9333,11.9833,72.19,94,91,0.69,light rain
13,Punta De Piedra,VE,7.6176,-71.4916,73.36,94,100,1.63,overcast clouds
14,Puerto Ayora,EC,-0.7393,-90.3518,68.56,87,94,5.01,overcast clouds
15,Mar Del Plata,AR,-38.0023,-57.5575,70.95,84,0,8.05,clear sky
16,Bluff,NZ,-46.6,168.3333,53.87,84,86,4.29,overcast clouds
17,Hermanus,ZA,-34.4187,19.2345,76.8,68,87,7.92,overcast clouds
18,Tumaco,CO,1.7986,-78.8156,75.83,79,100,7.36,overcast clouds
19,Jamestown,US,42.097,-79.2353,58.71,74,100,10.36,overcast clouds
20,Atuona,PF,-9.8,-139.0333,76.64,84,25,13.98,light rain
21,Ushuaia,AR,-54.8,-68.3,46.06,57,40,13.8,scattered clouds
22,Thompson,CA,55.7435,-97.8558,-11.04,84,40,3.44,scattered clouds
23,Bonavista,CA,48.6499,-53.1147,36.75,81,86,5.12,overcast clouds
24,Tilichiki,RU,60.4667,166.1,15.39,92,100,7.34,overcast clouds
25,Trofors,NO,65.5333,13.4063,49.87,96,100,22.28,overcast clouds
26,Punta Arenas,CL,-53.15,-70.9167,46.51,53,75,10.36,broken clouds
27,Indian Head,US,38.6001,-77.1622,64.35,95,100,6.91,mist
28,Khani,GE,41.9563,42.9566,56.77,56,17,2.21,few clouds
29,Vaini,TO,-21.2,-175.2,77.16,94,40,3.44,scattered clouds
30,Hobart,AU,-42.8794,147.3294,54.27,86,75,12.66,broken clouds
31,Longyearbyen,SJ,78.2186,15.6401,24.64,68,20,18.41,few clouds
32,Usinsk,RU,65.9939,57.5281,20.97,94,100,10.74,overcast clouds
33,Carnarvon,AU,-24.8667,113.6333,66.87,61,1,25.86,clear sky
34,Coahuayana,MX,18.7333,-103.6833,76.01,91,99,1.59,overcast clouds
35,Ribeira Grande,PT,38.5167,-28.7,65.77,59,20,12.66,few clouds
36,Soyo,AO,-6.1349,12.3689,80.33,71,100,7.81,overcast clouds
37,Jaora,IN,23.6333,75.1333,77.9,37,7,7.99,clear sky
38,Butaritari,KI,3.0707,172.7902,81.36,74,61,20.4,broken clouds
39,Nanortalik,GL,60.1432,-45.2371,26.22,75,100,13.38,overcast clouds
40,Sindor,RU,62.8629,51.8905,27.84,93,98,2.8,overcast clouds
41,Albany,US,42.6001,-73.9662,51.58,91,100,3.29,overcast clouds
42,Okhotsk,RU,59.3833,143.3,5.0,72,9,16.82,clear sky
43,Muros,ES,42.7762,-9.0603,69.67,85,0,3.09,clear sky
44,Cherskiy,RU,68.75,161.3,-18.67,100,96,4.14,overcast clouds
45,Mount Isa,AU,-20.7333,139.5,74.97,78,75,13.8,light rain
46,Bredasdorp,ZA,-34.5322,20.0403,76.5,49,76,12.1,broken clouds
47,Pevek,RU,69.7008,170.3133,2.34,95,100,3.85,overcast clouds
48,Ejea De Los Caballeros,ES,42.1263,-1.1372,61.02,47,52,13.02,broken clouds
49,College,US,64.8569,-147.8028,13.95,79,75,4.61,broken clouds
50,Thinadhoo,MV,0.5333,72.9333,82.09,76,75,14.05,broken clouds
51,Viedma,AR,-40.8135,-62.9967,63.21,51,55,6.6,broken clouds
52,Abalak,RU,58.1286,68.5944,32.67,97,100,9.66,overcast clouds
53,Maniitsoq,GL,65.4167,-52.9,21.13,57,100,7.47,overcast clouds
54,Barrow,US,71.2906,-156.7887,8.62,85,0,13.8,clear sky
55,Bethel,US,41.3712,-73.414,58.33,85,100,0.0,overcast clouds
56,Chuy,UY,-33.6971,-53.4616,69.04,70,98,9.93,overcast clouds
57,Saskylakh,RU,71.9167,114.0833,-31.02,100,49,2.98,scattered clouds
58,Castro,BR,-24.7911,-50.0119,63.05,80,100,9.4,moderate rain
59,Kavaratti,IN,10.5669,72.642,82.99,64,66,8.1,broken clouds
60,Vardo,NO,70.3705,31.1107,37.38,87,75,23.02,light rain
61,Port Alfred,ZA,-33.5906,26.891,77.74,72,85,27.98,overcast clouds
62,Nome,US,64.5011,-165.4064,12.27,85,0,5.75,clear sky
63,Haines Junction,CA,60.7522,-137.5108,17.55,86,93,1.14,overcast clouds
64,Lavrentiya,RU,65.5833,-171.0,12.63,87,26,8.12,scattered clouds
65,East London,ZA,-33.0153,27.9116,75.16,75,100,23.47,light rain
66,Provideniya,RU,64.3833,-173.3,14.59,85,35,7.4,scattered clouds
67,Kruisfontein,ZA,-34.0033,24.7314,85.89,47,0,17.13,clear sky
68,Grand Gaube,MU,-20.0064,57.6608,79.2,65,20,8.01,few clouds
69,Babushkin,RU,51.7122,105.8647,23.4,80,22,6.33,few clouds
70,Mataura,NZ,-46.1927,168.8643,47.8,93,100,1.79,overcast clouds
71,Tiksi,RU,71.6872,128.8694,-13.79,100,76,2.35,broken clouds
72,Kodiak,US,57.79,-152.4072,38.71,87,100,18.41,light rain
73,Hirara,JP,24.8,125.2833,78.75,86,2,13.67,clear sky
74,Bushehr,IR,28.9684,50.8385,87.89,37,100,4.61,overcast clouds
75,Norman Wells,CA,65.282,-126.8329,12.24,85,100,4.61,light snow
76,Lesosibirsk,RU,58.2358,92.4828,28.11,96,99,6.42,overcast clouds
77,Chunhuhub,MX,19.55,-88.6833,66.2,99,4,1.66,clear sky
78,Cape Town,ZA,-33.9258,18.4232,75.9,52,80,5.01,broken clouds
79,Coihaique,CL,-45.5752,-72.0662,52.41,93,100,3.44,light intensity drizzle
80,Gamba,GA,-2.65,10.0,80.87,73,73,7.34,broken clouds
81,Kapaa,US,22.0752,-159.319,75.18,84,100,12.66,overcast clouds
82,Zhaoyuan,CN,37.3592,120.3964,57.88,91,50,9.17,scattered clouds
83,Dikson,RU,73.5069,80.5464,-1.44,94,36,13.0,scattered clouds
84,Saint Anthony,US,45.0205,-93.218,27.25,78,100,12.66,overcast clouds
85,Port Hardy,CA,50.6996,-127.4199,39.97,90,100,18.12,light rain
86,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,81,40,5.75,scattered clouds
87,Aras,ES,42.5617,-2.356,61.23,59,20,12.66,few clouds
88,Damavand,IR,35.7178,52.065,50.16,39,57,5.97,broken clouds
89,Avarua,CK,-21.2078,-159.775,73.45,68,100,3.44,overcast clouds
90,Vila Velha,BR,-20.3297,-40.2925,82.35,79,75,6.91,broken clouds
91,Lebu,CL,-37.6167,-73.65,55.06,91,91,10.27,overcast clouds
92,Auki,SB,-8.7676,160.7034,77.61,87,100,6.22,moderate rain
93,Tasiilaq,GL,65.6145,-37.6368,33.96,71,100,26.98,overcast clouds
94,Ust-Koksa,RU,50.2696,85.6108,19.02,93,100,0.63,overcast clouds
95,Labuhan,ID,-6.8844,112.2051,81.84,78,100,4.85,light rain
96,Tuktoyaktuk,CA,69.4541,-133.0374,23.32,96,100,9.24,light snow
97,Inverell,AU,-29.7833,151.1167,60.15,81,45,1.99,scattered clouds
98,Kaeo,NZ,-35.1,173.7833,65.32,95,30,3.89,scattered clouds
99,Port Elizabeth,ZA,-33.918,25.5701,88.11,77,0,23.02,clear sky
100,Sorgun,TR,39.8101,35.186,54.88,41,0,2.68,clear sky
101,Naryan-Mar,RU,67.6713,53.087,16.3,98,78,2.35,broken clouds
102,Cockburn Town,TC,21.4612,-71.1419,82.38,77,1,15.39,clear sky
103,Berdigestyakh,RU,62.0989,126.6992,11.25,91,100,10.58,light snow
104,Bogotol,RU,56.2078,89.5342,27.79,94,99,9.89,overcast clouds
105,Aleppo,SY,36.25,37.5,68.76,40,4,7.36,clear sky
106,North Bend,US,43.4065,-124.2243,42.71,92,75,9.22,broken clouds
107,Djenne,ML,13.9061,-4.5533,94.21,10,6,3.71,clear sky
108,Dabat,ET,12.9842,37.765,65.71,47,48,6.44,scattered clouds
109,Hambantota,LK,6.1241,81.1185,83.91,71,65,16.64,broken clouds
110,La Ronge,CA,55.1001,-105.2842,3.42,85,75,4.61,broken clouds
111,Srednekolymsk,RU,67.45,153.6833,-23.19,100,79,3.15,broken clouds
112,Laguna,US,38.421,-121.4238,46.09,92,0,0.0,clear sky
113,Koshurnikovo,RU,54.1667,93.3,25.41,97,100,3.62,snow
114,Villa Carlos Paz,AR,-31.4241,-64.4978,69.89,39,97,1.01,overcast clouds
115,Bobo Dioulasso,BF,11.1771,-4.2979,92.61,19,13,2.13,few clouds
116,Taksimo,RU,56.3444,114.8794,7.38,86,54,3.15,broken clouds
117,Richards Bay,ZA,-28.783,32.0377,80.8,59,100,14.5,overcast clouds
118,Hilo,US,19.7297,-155.09,70.25,86,0,6.91,clear sky
119,Kirakira,SB,-10.4544,161.9205,79.43,87,100,9.19,overcast clouds
120,Clyde River,CA,70.4692,-68.5914,-5.57,77,20,11.5,few clouds
121,Mahebourg,MU,-20.4081,57.7,79.09,69,40,9.22,scattered clouds
122,Khatanga,RU,71.9667,102.5,-24.54,100,90,6.6,overcast clouds
123,Meulaboh,ID,4.1363,96.1285,78.22,82,100,1.54,light rain
124,Tuatapere,NZ,-46.1333,167.6833,50.88,89,99,2.44,overcast clouds
125,Wanning,CN,18.8003,110.3967,75.87,83,100,7.87,overcast clouds
126,Royan,FR,45.6285,-1.0281,64.81,63,2,13.11,clear sky
127,Dingle,PH,10.9995,122.6711,77.36,89,16,6.2,few clouds
128,Chapais,CA,49.7834,-74.8492,28.18,96,100,8.12,snow
129,Erzincan,TR,39.75,39.5,58.3,41,40,3.44,scattered clouds
130,Saldanha,ZA,-33.0117,17.9442,68.7,59,86,12.97,overcast clouds
131,Mongoumba,CF,3.6415,18.5936,82.72,70,95,1.99,light rain
132,Tayshet,RU,55.9342,98.0044,28.06,83,100,6.93,overcast clouds
133,Ishigaki,JP,24.3448,124.1572,80.73,89,75,10.36,broken clouds
134,Basco,PH,20.4487,121.9702,80.69,86,11,15.59,few clouds
135,Amapa,BR,1.0,-52.0,80.91,69,100,3.44,overcast clouds
136,Banda Aceh,ID,5.5577,95.3222,77.16,85,100,8.19,overcast clouds
137,Chernyshevskiy,RU,63.0128,112.4714,-2.87,96,38,6.8,scattered clouds
138,Luderitz,NA,-26.6481,15.1594,67.26,61,1,17.69,clear sky
139,Kudahuvadhoo,MV,2.6708,72.8944,81.28,75,93,15.08,overcast clouds
140,Vandra,EE,58.6481,25.0361,53.26,90,100,13.8,overcast clouds
141,Ornskoldsvik,SE,63.2909,18.7153,47.35,87,100,14.97,overcast clouds
142,Gizo,SB,-8.103,156.8419,82.36,79,98,6.98,light rain
143,Baruun-Urt,MN,46.6806,113.2792,23.07,48,100,6.06,overcast clouds
144,Esil,KZ,51.9556,66.4042,32.47,98,100,16.51,light snow
145,Ilebo,CD,-4.3167,20.5833,76.53,94,96,3.98,moderate rain
146,Pasighat,IN,28.0667,95.3333,66.7,72,0,3.51,clear sky
147,Sitka,US,57.0531,-135.33,37.29,87,75,4.61,broken clouds
148,Nikolskoye,RU,59.7035,30.7861,49.91,88,100,14.61,light rain
149,Kathmandu,NP,27.7167,85.3167,62.82,77,20,5.75,few clouds
150,Sao Filipe,CV,14.8961,-24.4956,78.06,68,88,6.73,overcast clouds
151,Hithadhoo,MV,-0.6,73.0833,82.04,76,33,13.85,scattered clouds
152,Mongu,ZM,-15.2484,23.1274,80.71,46,98,11.9,overcast clouds
153,Albion,US,42.2431,-84.753,51.66,70,0,0.0,clear sky
154,Tsumeb,NA,-19.2333,17.7167,80.13,44,35,12.68,light rain
155,Balilihan,PH,9.7561,123.973,77.25,91,100,5.5,overcast clouds
156,Tura,IN,25.5198,90.2201,66.49,88,33,2.93,scattered clouds
157,Naze,JP,28.3667,129.4833,72.52,92,97,16.26,light rain
158,Chicama,PE,-7.8447,-79.1469,59.54,82,88,2.42,overcast clouds
159,Narsaq,GL,60.9167,-46.05,25.02,92,100,0.63,light snow
160,Valadares,PT,41.1474,-7.9812,59.54,80,0,6.13,clear sky
161,Ponta Do Sol,PT,32.6667,-17.1,74.03,71,7,3.24,clear sky
162,Cayenne,GF,4.9333,-52.3333,75.24,94,75,0.0,light rain
163,Guangyuan,CN,32.442,105.823,53.17,76,100,11.34,overcast clouds
164,Iranshahr,IR,27.2025,60.6848,87.6,18,4,3.96,clear sky
165,Baruipur,IN,22.3497,88.4392,82.35,44,23,5.03,few clouds
166,Adrar,MR,20.5022,-10.0711,84.4,7,26,11.59,scattered clouds
167,Maningrida,AU,-12.0667,134.2667,84.52,68,9,10.63,clear sky
168,Souillac,MU,-20.5167,57.5167,76.48,71,32,10.33,scattered clouds
169,Olafsvik,IS,64.8945,-23.7142,40.95,85,100,23.0,overcast clouds
170,Lauf,DE,48.65,8.1333,55.06,88,100,2.3,mist
171,Katsuura,JP,35.1333,140.3,63.86,76,60,10.67,light rain
172,Rundu,NA,-17.9333,19.7667,90.03,29,77,6.13,broken clouds
173,Assiniboia,CA,49.6334,-105.9845,-7.78,77,85,4.61,overcast clouds
174,Baker City,US,44.7749,-117.8344,22.59,92,0,3.44,clear sky
175,Fomboni,KM,-12.28,43.7425,79.3,76,1,9.6,clear sky
176,Shimoda,JP,34.6667,138.95,64.45,75,52,10.89,broken clouds
177,Tual,ID,-5.6667,132.75,84.34,71,49,3.27,scattered clouds
178,Klaksvik,FO,62.2266,-6.589,50.92,82,100,23.87,overcast clouds
179,Pacific Grove,US,36.6177,-121.9166,45.64,83,0,0.0,clear sky
180,Les Cayes,HT,18.2,-73.75,77.77,82,19,2.17,few clouds
181,Hay River,CA,60.8156,-115.7999,4.98,78,40,9.22,scattered clouds
182,Dunedin,NZ,-45.8742,170.5036,54.81,79,100,11.01,overcast clouds
183,San Juan,AR,-31.5375,-68.5364,68.29,60,4,8.08,clear sky
184,Bengkulu,ID,-3.8004,102.2655,75.07,91,100,2.28,overcast clouds
185,Kendari,ID,-3.945,122.4989,78.33,89,100,1.3,overcast clouds
186,Kieta,PG,-6.2167,155.6333,78.8,86,98,2.51,moderate rain
187,Wewak,PG,-3.5534,143.6268,80.64,81,97,8.05,overcast clouds
188,Jvari,GE,42.7169,42.052,58.24,67,7,3.53,clear sky
189,New Norfolk,AU,-42.7826,147.0587,53.92,63,91,1.21,overcast clouds
190,Nyurba,RU,63.2842,118.3319,-8.55,96,62,5.73,broken clouds
191,Port Augusta,AU,-32.5,137.7667,70.61,56,85,8.59,overcast clouds
192,Leh,IN,34.1667,77.5833,25.2,46,30,4.45,scattered clouds
193,Maragogi,BR,-9.0122,-35.2225,82.35,71,32,8.21,scattered clouds
194,Kahului,US,20.8947,-156.47,76.84,79,20,5.99,few clouds
195,Camapua,BR,-19.5314,-54.0439,85.51,43,55,10.76,broken clouds
196,Lompoc,US,34.6391,-120.4579,50.59,92,0,10.36,clear sky
197,Taltal,CL,-25.4,-70.4833,61.72,71,86,1.03,overcast clouds
198,Kishapu,TZ,-3.6167,33.8667,83.14,37,91,2.98,overcast clouds
199,Djambala,CG,-2.5447,14.7533,75.65,75,84,3.4,light rain
200,Pristen,RU,51.2355,36.6959,45.32,74,96,8.23,overcast clouds
201,Upernavik,GL,72.7868,-56.1549,12.16,84,100,6.96,overcast clouds
202,Espanola,US,35.9911,-106.0806,31.6,56,0,1.81,clear sky
203,Bairiki,KI,1.3292,172.9752,80.6,74,20,9.22,few clouds
204,Asyut,EG,27.181,31.1837,79.14,23,0,12.44,clear sky
205,Airai,TL,-8.9266,125.4092,63.45,93,100,2.01,overcast clouds
206,Acajutla,SV,13.5928,-89.8275,76.15,76,49,5.19,scattered clouds
207,Evensk,RU,61.95,159.2333,15.84,94,100,20.54,snow
208,Iqaluit,CA,63.7506,-68.5145,2.93,78,100,2.3,light snow
209,Altay,CN,47.8667,88.1167,22.59,57,95,4.97,overcast clouds
210,Mahon,ES,39.8885,4.2658,70.36,83,75,17.27,broken clouds
211,Mazagao,BR,-0.115,-51.2894,86.05,70,98,4.21,overcast clouds
212,Lazaro Cardenas,MX,17.9583,-102.2,76.98,83,95,3.53,overcast clouds
213,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,69,75,5.75,broken clouds
214,Ust-Nera,RU,64.5667,143.2,-23.58,98,96,4.72,overcast clouds
215,Qaanaaq,GL,77.484,-69.3632,-5.51,66,0,8.93,clear sky
216,Sioux Lookout,CA,50.1001,-91.917,19.47,93,100,8.05,snow
217,Hamilton,US,39.1834,-84.5333,59.18,93,100,0.0,heavy intensity rain
218,Gao,ML,16.6362,1.637,92.19,9,0,13.11,clear sky
219,Camana,PE,-16.6228,-72.7111,66.11,82,84,8.34,broken clouds
220,Burnie,AU,-41.0667,145.9167,55.94,74,52,7.81,broken clouds
221,Dawson Creek,CA,55.7666,-120.2362,13.87,92,100,3.69,overcast clouds
222,Fortuna,US,40.5982,-124.1573,41.34,97,75,9.22,broken clouds
223,Pinawa,CA,50.1489,-95.8811,16.47,92,100,10.11,light snow
224,Hami,CN,42.8,93.45,38.05,36,0,4.85,clear sky
225,Oyem,GA,1.5995,11.5793,77.04,81,89,3.06,moderate rain
226,George,ZA,-33.963,22.4617,71.15,60,0,6.91,clear sky
227,Antalaha,MG,-14.9003,50.2788,79.3,63,11,12.39,few clouds
228,Lilongwe,MW,-13.9669,33.7873,79.0,50,75,4.61,broken clouds
